,FIPS,State,County Name,NonHSWhite,NonHSBlack,NonHSAsian,HS
2,2020,AK,Anchorage Municipality,0.5827338129496402,0.0,1.5473684210526315,0.0
5,1003,AL,Baldwin County,1.0372596153846154,1.2790697674418605,0.0,0.0
8,1015,AL,Calhoun County,1.100558659217877,0.9476190476190477,0.0,0.0
11,1033,AL,Colbert County,1.0154440154440154,1.0375,0.0,0.0
14,1039,AL,Covington County,0.9939831528279182,1.3306451612903227,0.0,0.0
17,1043,AL,Cullman County,1.0611353711790392,0.0,0.0,0.0
20,1047,AL,Dallas County,1.1259259259259258,0.97724039829303,0.0,0.0
23,1049,AL,DeKalb County,1.208020050125313,0.0,0.0,0.0
26,1055,AL,Etowah County,1.0917312661498708,0.9483870967741935,0.0,0.0
29,1069,AL,Houston County,1.0515151515151513,1.0258302583025831,0.0,0.6176470588235294
32,1073,AL,Jefferson County,1.2303030303030302,0.839907192575406,0.38888888888888895,0.4390243902439024
35,1077,AL,Lauderdale County,1.0059171597633136,1.3737373737373737,0.0,0.0
38,1081,AL,Lee County,0.8565088757396448,1.7345132743362832,0.0,0.0
41,1083,AL,Limestone County,1.1345646437994723,0.9185185185185184,0.0,0.0
44,1089,AL,Madison County,1.1956521739130435,0.7786885245901639,0.0,0.6153846153846154
47,1095,AL,Marshall County,1.1317440401505645,0.0,0.0,0.5646258503401361
50,1097,AL,Mobile County,0.9734513274336285,1.1671309192200556,0.0,0.33333333333333337
53,1101,AL,Montgomery County,1.2385321100917432,0.9744897959183674,0.0,0.35135135135135137
56,1103,AL,Morgan County,1.0413333333333334,1.4015748031496063,0.0,0.4597701149425288
59,1115,AL,St. Clair County,1.094847775175644,0.0,0.0,0.0
62,1117,AL,Shelby County,1.0375647668393784,1.3053435114503817,0.0,0.0
65,1121,AL,Talladega County,1.0658105939004816,0.9785932721712538,0.0,0.0
68,1123,AL,Tallapoosa County,1.0320232896652108,1.093984962406015,0.0,0.0
71,1125,AL,Tuscaloosa County,0.9309210526315789,1.27639751552795,0.0,0.5
74,1127,AL,Walker County,1.064189189189189,0.0,0.0,0.0
77,5005,AR,Baxter County,1.0541401273885351,0.0,0.0,0.0
80,5007,AR,Benton County,1.0970873786407769,0.0,0.0,0.7176470588235293
83,5031,AR,Craighead County,1.0949197860962567,0.9757575757575757,0.0,0.0
86,5045,AR,Faulkner County,1.1076345431789736,0.7333333333333333,0.0,0.0
89,5051,AR,Garland County,1.0330882352941178,1.4705882352941175,0.0,0.0
92,5063,AR,Independence County,1.0647727272727274,0.0,0.0,0.0
95,5069,AR,Jefferson County,1.1675392670157068,0.8771929824561404,0.0,0.0
98,5119,AR,Pulaski County,1.2364341085271318,0.8293333333333334,0.4545454545454546,0.6290322580645161
101,5125,AR,Saline County,1.0563549160671464,1.170731707317073,0.0,0.0
104,5131,AR,Sebastian County,1.2142857142857142,0.373134328358209,0.0,0.40816326530612246
107,5139,AR,Union County,1.018151815181518,1.0856269113149846,0.0,0.0
110,5143,AR,Washington County,1.1559766763848396,0.0,0.0,0.5449101796407185
113,5145,AR,White County,1.0273660205245154,2.088888888888889,0.0,0.0
116,4001,AZ,Apache County,0.0,0.0,0.0,0.0
119,4003,AZ,Cochise County,1.0787545787545787,0.0,0.0,0.8707865168539326
122,4005,AZ,Coconino County,0.21481481481481482,0.0,0.0,0.7062937062937064
125,4007,AZ,Gila County,0.8344155844155845,0.0,0.0,0.0
128,4013,AZ,Maricopa County,0.9613970588235293,0.75,0.627906976744186,0.939297124600639
131,4015,AZ,Mohave County,1.0339425587467364,0.0,0.0,0.7514792899408284
134,4017,AZ,Navajo County,0.8317307692307692,0.0,0.0,0.7043478260869566
137,4019,AZ,Pima County,0.974559686888454,0.7058823529411764,0.4666666666666667,1.063660477453581
140,4021,AZ,Pinal County,0.9910554561717352,0.6382978723404255,0.0,1.0098039215686274
143,4025,AZ,Yavapai County,1.0174781523096128,0.0,0.0,0.5510204081632654
146,4027,AZ,Yuma County,0.9335548172757476,0.0,0.0,1.034108527131783
149,6001,CA,Alameda County,0.9276315789473684,1.772277227722772,0.7388535031847134,1.2307692307692308
152,6007,CA,Butte County,1.055084745762712,0.0,1.0,0.8662790697674418
155,6013,CA,Contra Costa County,1.1623529411764706,1.4252873563218391,0.7102272727272728,0.9034749034749034
158,6017,CA,El Dorado County,1.1089494163424125,0.0,0.0,0.0
161,6019,CA,Fresno County,1.2342657342657344,0.9782608695652174,0.9708737864077671,0.9106145251396647
164,6025,CA,Imperial County,0.7499999999999999,0.0,0.0,1.0705882352941176
167,6029,CA,Kern County,0.9329268292682926,1.0,1.0212765957446808,1.056880733944954
170,6031,CA,Kings County,0.6741214057507987,0.0,0.8157894736842105,1.3012704174228673
173,6037,CA,Los Angeles County,0.8461538461538461,1.0379746835443038,0.9391891891891894,1.129896907216495
176,6039,CA,Madera County,0.661631419939577,0.0,0.0,1.212947189097104
179,6041,CA,Marin County,0.9845070422535211,0.0,1.0625,1.0122699386503067
182,6047,CA,Merced County,1.3030303030303028,1.3448275862068966,1.0985915492957747,0.852216748768473
185,6053,CA,Monterey County,1.0,1.5599999999999998,1.5087719298245612,0.9627749576988155
188,6059,CA,Orange County,0.818639798488665,0.9411764705882353,1.0235849056603774,1.2654867256637168
191,6061,CA,Placer County,1.015406162464986,2.705882352941176,0.8227848101265823,0.9652777777777779
194,6065,CA,Riverside County,1.0499999999999998,0.935483870967742,0.8153846153846154,1.0260521042084167
197,6067,CA,Sacramento County,1.138568129330254,1.041237113402062,0.9751552795031055,0.8717948717948717
